年龄(x),死亡率(q),生存人数(l),死亡人数(d),生存人年数(L),未来生存人年数总和(T),平均余命(e)
75,0.045902,644296.1027,29574.4797,629508.8628,6229862.613,9.669253915
76,0.050829,614721.6229,31245.68537,599098.7803,5600353.75,9.110390039
77,0.056262,583475.9376,32827.5232,567062.176,5001254.97,8.571484526
78,0.062257,550648.4144,34281.71833,533507.5552,4434192.794,8.052675134
79,0.068871,516366.696,35562.69072,498585.3507,3900685.239,7.554099187
80,0.076187,480804.0053,36631.01475,462488.4979,3402099.888,7.075855963
81,0.084224,444172.9906,37410.02596,425467.9776,2939611.39,6.618167814
82,0.093071,406762.9646,37857.83588,387834.0467,2514143.413,6.180856251
83,0.1028,368905.1287,37923.44723,349943.4051,2126309.366,5.763837909
84,0.113489,330981.6815,37562.78005,312200.2915,1776365.961,5.366961558
85,0.125221,293418.9014,36742.20826,275047.7973,1464165.669,4.990018237
86,0.13808,256676.6932,35441.9178,238955.7343,1189117.872,4.632745799
87,0.152157,221234.7754,33662.41972,204403.5655,950162.1378,4.294813671
88,0.167543,187572.3557,31426.43519,171859.1381,745758.5722,3.975844786
89,0.184333,156145.9205,28782.84596,141754.4975,573899.4342,3.675404598
90,0.202621,127363.0745,25806.43352,114459.8578,432144.9367,3.393015898
91,0.2225,101556.641,22596.35262,90258.46469,317685.0789,3.12815662
92,0.244059,78960.28838,19270.96902,69324.80387,227426.6142,2.88026575
93,0.267383,59689.31936,15959.90928,51709.36472,158101.8103,2.648745404
94,0.292544,43729.41008,12792.77654,37333.02181,106392.4456,2.43297235
95,0.319604,30936.63354,9887.471825,25992.89762,69059.4238,2.232286319
96,0.348606,21049.16171,7337.864068,17380.22968,43066.52618,2.045997212
97,0.379572,13711.29764,5204.424669,11109.08531,25686.2965,1.873367289
98,0.412495,8506.872975,3509.042568,6752.351691,14577.21119,1.713580447
99,0.447334,4997.830407,2235.699467,3879.980673,7824.8595,1.565651265
100,0.48401,2762.13094,1336.898996,2093.681442,3944.878827,1.428201238
101,0.522397,1425.231944,744.5368916,1052.963498,1851.197385,1.29887447
102,0.562317,680.695052,382.7663995,489.3118522,798.2338872,1.172674731
103,0.603539,297.9286524,179.811561,208.022872,308.922035,1.03689938
104,0.64577,118.1170915,76.27647416,79.97885439,100.899163,0.85423
105,1,41.84061731,41.84061731,20.92030866,20.92030866,0.5
